country,gender,age_group,year,unemployment_rate
Azerbaijan,Female,15-24,2014,15.91
Azerbaijan,Female,25+,2014,4.54
Azerbaijan,Male,15+,2013,4.04
Azerbaijan,Female,15+,2013,5.95
Burundi,Male,15+,2020,1.09
Burundi,Male,15-24,2020,2.09
Burundi,Male,25+,2020,0.8
Burundi,Female,15+,2020,0.98
Burundi,Female,15-24,2020,1.42
Burundi,Female,25+,2020,0.84
Burundi,Male,15+,2014,2.05
Burundi,Male,15-24,2014,4.41
Burundi,Male,25+,2014,1.47
Burundi,Female,15+,2014,1.17
Burundi,Female,15-24,2014,1.97
Burundi,Female,25+,2014,0.9
Belgium,Male,15+,2022,5.83
Belgium,Male,15-24,2022,18.12
Belgium,Male,25+,2022,4.79
Belgium,Female,15+,2022,5.25
Belgium,Female,15-24,2022,14.44
Belgium,Female,25+,2022,4.48
Belgium,Male,15+,2021,6.62
Belgium,Male,15-24,2021,19.92
Belgium,Male,25+,2021,5.49
Belgium,Female,15+,2021,5.86
Belgium,Female,15-24,2021,16.18
Belgium,Female,25+,2021,5.03
Belgium,Male,15+,2020,5.73
Belgium,Male,15-24,2020,15.51
Belgium,Male,25+,2020,4.95
Belgium,Female,15+,2020,5.36
Belgium,Female,15-24,2020,15.12
Belgium,Female,25+,2020,4.61
Belgium,Male,15+,2019,5.73
Belgium,Male,15-24,2019,15.96
Belgium,Male,25+,2019,4.86
Belgium,Female,15+,2019,4.94
Belgium,Female,15-24,2019,12.28
Belgium,Female,25+,2019,4.31
Belgium,Male,15+,2018,6.28
Belgium,Male,15-24,2018,16.18
Belgium,Male,25+,2018,5.46
Belgium,Female,15+,2018,5.56
Belgium,Female,15-24,2018,15.26
Belgium,Female,25+,2018,4.78
Belgium,Male,15+,2017,7.11
Belgium,Male,15-24,2017,20.23
Belgium,Male,25+,2017,6.05
Belgium,Female,15+,2017,7.05
Belgium,Female,15-24,2017,18.04
Belgium,Female,25+,2017,6.22
Belgium,Male,15+,2016,8.06
Belgium,Male,15-24,2016,21.75
Belgium,Male,25+,2016,6.93
Belgium,Female,15+,2016,7.56
Belgium,Female,15-24,2016,18.16
Belgium,Female,25+,2016,6.72
Belgium,Male,15+,2015,9.09
Belgium,Male,15-24,2015,23.8
Belgium,Male,25+,2015,7.78
Belgium,Female,15+,2015,7.77
Belgium,Female,15-24,2015,20.05
Belgium,Female,25+,2015,6.75
Belgium,Male,15+,2014,9.02
Belgium,Male,15-24,2014,23.99
Belgium,Male,25+,2014,7.71
Belgium,Female,15+,2014,7.94
Belgium,Female,15-24,2014,22.33
Belgium,Female,25+,2014,6.69
Belgium,Male,15+,2013,8.64
Belgium,Male,15-24,2013,24.71
Belgium,Male,25+,2013,7.16
Belgium,Female,15+,2013,8.17
Belgium,Female,15-24,2013,22.47
Belgium,Female,25+,2013,6.9
Benin,Male,15+,2018,1.24
Benin,Male,15-24,2018,3.16
Benin,Male,25+,2018,0.89
Benin,Female,15+,2018,1.73
Benin,Female,15-24,2018,4.54
Benin,Female,25+,2018,1.05
Burkina Faso,Male,15+,2018,4.75
Burkina Faso,Male,15-24,2018,8.88
Burkina Faso,Male,25+,2018,4.04
Burkina Faso,Female,15+,2018,4.63
Burkina Faso,Female,15-24,2018,8.39
Burkina Faso,Female,25+,2018,3.7
Burkina Faso,Male,15+,2014,3.86
Burkina Faso,Male,15-24,2014,5.28
Burkina Faso,Male,25+,2014,3.32
Burkina Faso,Female,15+,2014,9.24
Burkina Faso,Female,15-24,2014,12.53
Burkina Faso,Female,25+,2014,8.1
Bangladesh,Male,15+,2017,3.32
Bangladesh,Male,15-24,2017,10.78
Bangladesh,Male,25+,2017,1.78
Bangladesh,Female,15+,2017,6.68
Bangladesh,Female,15-24,2017,16.8
Bangladesh,Female,25+,2017,4.41
Bangladesh,Male,15+,2016,3.09
Bangladesh,Male,15-24,2016,10.11
Bangladesh,Male,25+,2016,1.63
Bangladesh,Female,15+,2016,7.29
Bangladesh,Female,15-24,2016,14.08
Bangladesh,Female,25+,2016,5.72
Bangladesh,Male,15+,2013,3.15
Bangladesh,Male,15-24,2013,10.08
Bangladesh,Male,25+,2013,1.63
Bangladesh,Female,15+,2013,7.41
Bangladesh,Female,15-24,2013,9.61
Bangladesh,Female,25+,2013,6.38
Bulgaria,Male,15+,2022,4.45
Bulgaria,Male,15-24,2022,10.81
Bulgaria,Male,25+,2022,4.13
Bulgaria,Female,15+,2022,4.06
Bulgaria,Female,15-24,2022,10.66
Bulgaria,Female,25+,2022,3.81
Bulgaria,Male,15+,2021,5.47
Bulgaria,Male,15-24,2021,16.14
Bulgaria,Male,25+,2021,4.98
Bulgaria,Female,15+,2021,5.03
Bulgaria,Female,15-24,2021,15.32
Bulgaria,Female,25+,2021,4.7
Bulgaria,Male,15+,2020,5.43
Bulgaria,Male,15-24,2020,14.59
Bulgaria,Male,25+,2020,5.0
Bulgaria,Female,15+,2020,4.77
Bulgaria,Female,15-24,2020,13.67
Bulgaria,Female,25+,2020,4.43
Bulgaria,Male,15+,2019,4.54
Bulgaria,Male,15-24,2019,9.3
Bulgaria,Male,25+,2019,4.29
Bulgaria,Female,15+,2019,3.87
Bulgaria,Female,15-24,2019,8.32
Bulgaria,Female,25+,2019,3.7
Bulgaria,Male,15+,2018,5.69
Bulgaria,Male,15-24,2018,13.2
Bulgaria,Male,25+,2018,5.29
Bulgaria,Female,15+,2018,4.65
Bulgaria,Female,15-24,2018,11.89
Bulgaria,Female,25+,2018,4.36
Bulgaria,Male,15+,2017,6.35
Bulgaria,Male,15-24,2017,13.25
Bulgaria,Male,25+,2017,5.94
Bulgaria,Female,15+,2017,5.95
Bulgaria,Female,15-24,2017,12.45
Bulgaria,Female,25+,2017,5.65
Bulgaria,Male,15+,2016,8.1
Bulgaria,Male,15-24,2016,17.43
Bulgaria,Male,25+,2016,7.55
Bulgaria,Female,15+,2016,6.97
Bulgaria,Female,15-24,2016,16.91
Bulgaria,Female,25+,2016,6.53
Bulgaria,Male,15+,2015,9.78
Bulgaria,Male,15-24,2015,21.24
Bulgaria,Male,25+,2015,9.02
Bulgaria,Female,15+,2015,8.42
